gender,race/ethnicity,parental level of education,lunch,test preparation course,reading score,writing score,outcome
female,group B,bachelor's degree,free/reduced,none,79,76,1
female,group C,master's degree,standard,completed,84,85,0
male,group C,associate's degree,standard,none,73,67,1
female,group D,high school,standard,completed,58,64,0
female,group B,bachelor's degree,standard,none,84,80,1
male,group D,associate's degree,free/reduced,none,66,73,1
male,group C,bachelor's degree,standard,none,83,86,1
female,group A,associate's degree,standard,completed,70,74,0
male,group C,bachelor's degree,free/reduced,none,58,55,0
female,group E,associate's degree,free/reduced,none,76,78,1
female,group B,high school,free/reduced,none,87,82,1
female,group D,associate's degree,standard,none,95,89,1
female,group B,some college,standard,none,65,61,0
female,group C,bachelor's degree,standard,completed,64,75,0
male,group B,associate's degree,free/reduced,completed,70,63,0
female,group C,some college,free/reduced,none,39,33,0
male,group C,high school,standard,none,56,51,1
male,group B,bachelor's degree,free/reduced,none,56,57,1
male,group C,master's degree,standard,completed,85,85,1
male,group D,some high school,free/reduced,none,42,41,0
male,group C,high school,standard,none,66,65,1
female,group C,some college,free/reduced,none,90,91,1
male,group C,master's degree,free/reduced,none,59,50,0
female,group D,some college,free/reduced,completed,80,80,0
male,group B,high school,standard,completed,69,68,1
female,group C,some high school,free/reduced,completed,79,77,0
male,group C,associate's degree,standard,none,77,69,0
female,group A,some college,standard,none,63,67,0
female,group E,high school,free/reduced,none,45,40,0
male,group D,high school,standard,none,69,63,0
male,group E,high school,free/reduced,completed,56,54,0
female,group A,high school,standard,none,73,73,0
female,group C,some college,standard,none,69,65,0
female,group A,some college,free/reduced,none,65,55,0
female,group B,associate's degree,standard,completed,86,87,0
male,group E,bachelor's degree,standard,none,62,62,1
female,group D,bachelor's degree,free/reduced,none,41,47,0
female,group D,high school,standard,completed,68,74,0
female,group C,some high school,free/reduced,none,56,51,0
male,group B,associate's degree,standard,none,76,64,1
male,group C,associate's degree,standard,none,51,43,0
male,group C,associate's degree,standard,completed,75,77,1
male,group D,high school,standard,none,52,51,0
male,group C,some high school,free/reduced,completed,56,53,0
male,group D,associate's degree,standard,none,66,60,1
female,group D,some college,standard,none,74,74,0
male,group C,high school,standard,none,53,49,0
female,group D,some college,standard,none,100,99,1
female,group B,some college,standard,completed,95,92,1
female,group E,master's degree,standard,none,68,68,0
male,group B,some high school,free/reduced,completed,50,52,0
male,group B,high school,standard,none,48,49,0
male,group E,high school,standard,none,64,57,1
female,group D,associate's degree,free/reduced,completed,74,76,0
female,group D,associate's degree,free/reduced,none,65,63,0
female,group D,some high school,standard,none,72,71,1
female,group D,some college,free/reduced,none,71,69,0
female,group C,associate's degree,standard,none,66,67,0
male,group D,high school,standard,none,52,52,0
male,group A,some college,standard,completed,51,52,0
female,group E,bachelor's degree,standard,none,45,38,0
female,group C,some college,free/reduced,completed,85,85,0
female,group E,associate's degree,standard,completed,85,86,1
male,group D,some high school,standard,completed,70,69,1
male,group D,associate's degree,standard,completed,72,77,1
female,group C,high school,free/reduced,none,42,39,0
male,group C,high school,free/reduced,none,55,55,0
female,group D,bachelor's degree,standard,none,89,89,1
male,group C,associate's degree,standard,none,80,80,1
female,group C,some high school,free/reduced,none,17,10,0
female,group C,high school,free/reduced,completed,66,64,0
male,group E,some high school,standard,completed,51,57,0
male,group D,bachelor's degree,standard,completed,61,68,0
male,group D,some high school,standard,none,74,72,1
female,group C,bachelor's degree,standard,none,72,74,0
male,group D,some college,free/reduced,none,62,64,1
male,group C,associate's degree,free/reduced,completed,81,82,1
male,group D,bachelor's degree,free/reduced,completed,42,38,0
male,group D,high school,free/reduced,none,39,34,0
female,group B,some high school,free/reduced,none,58,55,0
female,group B,high school,standard,none,72,70,0
male,group C,bachelor's degree,standard,completed,74,68,1
female,group D,bachelor's degree,standard,completed,76,83,1
female,group D,high school,free/reduced,none,92,84,1
female,group C,bachelor's degree,standard,none,88,90,1
female,group C,associate's degree,free/reduced,none,61,62,0
female,group A,associate's degree,free/reduced,none,51,48,0
male,group A,some college,standard,completed,96,86,1
male,group E,some college,standard,none,77,71,1
male,group C,some high school,standard,none,58,51,0
female,group C,high school,standard,none,73,63,0
female,group B,associate's degree,standard,none,86,83,1
female,group D,associate's degree,free/reduced,none,56,57,0
